Time;Htl;Hdbt;Hc;Qve;ΣQx;Qxt;Qxm;Ncxs;Ncxm
2025-11-21 23:00:00;105.96;105;101;2320;2268;2100;168;0;12
2025-11-22 01:00:00;105.96;105;101;2260;2250;2100;150;0;12
