Time;Htl;Hdbt;Hc;Qve;ΣQx;Qxt;Qxm;Ncxs;Ncxm
2025-11-21 21:00:00;209.6;209;196;556.32;556.32;500;56.32;0;0
2025-11-22 01:00:00;209.6;209;196;530.44;530.44;500;30.44;0;0
